,Adjektiv,P(han),P(hun),Diff,Ratio han/hun,Ratio hun/han
290,nektende,0.0018889961065724492,0.8500709214713424,-0.84818192536477,0.002222162950007614,450.0120029436066
328,politisk korrekt,0.002050803042948246,0.8087673007976264,-0.8067164977546781,0.002535714588022653,394.36615016668685
464,uutholdelig,0.0021056225523352623,0.8069929480552673,-0.8048873255029321,0.002609220511045975,383.25622375209815
485,ydmyk,0.002128258114680648,0.7946552634239197,-0.792527005309239,0.0026782155893747593,373.3829359993585
324,plagsom,0.0023121614940464497,0.8522958159446716,-0.8499836544506252,0.0027128626596432193,368.61431095502434
237,krass,0.002256992971524596,0.8306827545166016,-0.828425761545077,0.0027170336199383435,368.04844543023825
103,engstelig,0.002237839624285698,0.8079639903735369,-0.8057261507492512,0.002769726932076642,361.04642245372395
442,uforsonlig,0.0022872863337397575,0.8152122497558594,-0.8129249634221196,0.0028057555985263427,356.4102306434768
356,rolig,0.002287138719111681,0.8095399141311646,-0.8072527754120529,0.0028252328009871425,353.95313251729124
289,nedlatende,0.00221700849942863,0.767715253168717,-0.7654982446692884,0.002887800509730668,346.28430760034234
226,knuslete,0.0025702386628836393,0.871408224105835,-0.8688379854429513,0.002949523072864041,339.03786317188616
130,formfullendt,0.0023395689204335213,0.7889670277945697,-0.7866274588741362,0.00296535702762308,337.2275212342855
459,uspist,0.002447612816467881,0.815007746219635,-0.8125601334031671,0.003003177365885156,332.98066619693645
391,stillferdig,0.00242001935839653,0.8020468354225159,-0.7996268160641193,0.0030173042913655673,331.42166100437333
36,anstendig,0.002487516961991787,0.8074937595520169,-0.8050062425900251,0.003080540168349805,324.61839331758614
462,utellelig,0.0025875947903841734,0.836650013923645,-0.8340624191332608,0.0030928043355298676,323.33115564799454
445,uheldig,0.002621279563754797,0.8468036651611328,-0.844182385597378,0.003095498604456336,323.0497337522239
409,sørsamisk,0.0026915897615253925,0.8562228679656982,-0.8535312782041728,0.0031435621054134496,318.11046401085093
84,demonstrativ,0.002613015240058303,0.8231511116027832,-0.8205380963627249,0.0031744052862546944,315.019636695428
139,fredelig,0.0026624631136655807,0.8371646900195628,-0.8345022269058973,0.0031803337448493727,314.4324087431151
454,uoversiktlig,0.002632320858538151,0.8275484442710876,-0.8249161234125495,0.0031808661798122567,314.3797769131623
449,umenneskelig,0.0026480855885893106,0.8144208290614188,-0.8117727434728295,0.003251495411335566,307.55079540132135
378,skånsom,0.002690801164135337,0.8241543173789978,-0.8214635162148625,0.003264923943725381,306.28584837996823
354,riktig,0.0027089600916951895,0.8238239288330078,-0.8211149687413126,0.0032882755609351883,304.11076610489397
373,skadelig,0.0026145705487579107,0.7940770983695984,-0.7914625278208405,0.0032925902964915563,303.7122477903058
73,blodig,0.0027182542253285646,0.8233591914176941,-0.8206409371923655,0.0033014196643000506,302.8999950577367
164,grei,0.002893958706408739,0.8603981733322144,-0.8575042146258056,0.0033635109837586003,297.30837949651544
113,fattig,0.002739354269579053,0.8141875267028809,-0.8114481724333018,0.0033645249770311424,297.21877733908224
20,akseptabel,0.0027563150506466627,0.8107707500457764,-0.8080144349951297,0.0033996231986551566,294.15024594360517
140,fredlig,0.002837735926732421,0.8321843787562102,-0.8293466428294778,0.0034099846129937274,293.2564552313537
145,fruktsommelig,0.0028355272952467203,0.8286534547805786,-0.8258179274853319,0.0034218493616219184,292.23963252608263
382,snakkesalig,0.0027072231750935316,0.7892821431159973,-0.7865749199409038,0.0034299815328466933,291.5467591949557
484,vrien,0.0026999926194548607,0.7787529826164246,-0.7760529899969697,0.0034670719467211905,288.42781902628235
127,forfjamset,0.002978541888296604,0.8548821210861206,-0.851903579197824,0.003484155083875648,287.0136305435739
303,omtenksom,0.0027823790442198515,0.7971091270446777,-0.7943267480004579,0.0034905873610250357,286.4847363987312
478,vettug,0.0030169247183948755,0.8591985702514648,-0.85618164553307,0.0035113241837819876,284.79284385610816
433,uanstendig,0.0028642856050282717,0.8115410208702087,-0.8086767352651805,0.0035294403257113507,283.33104053783717
115,fengslende,0.002922245068475604,0.8270418047904968,-0.8241195597220212,0.0035333704433669543,283.0158954539446
204,irriterende,0.00279850116930902,0.7875757284928113,-0.7847772273235023,0.003553310580894271,281.4276931988105
186,hyggelig,0.0029099720995873213,0.8135939240455627,-0.8106839519459754,0.003576688583313901,279.588221536881
298,nødtørftig,0.002871588570997119,0.8021483421325684,-0.7992767535615712,0.0035798722258314425,279.3395788777755
42,arbeidsløs,0.0029421267099678516,0.8128703832626343,-0.8099282565526664,0.0036194290880164413,276.28666722906587
114,feig,0.0028877141885459423,0.7965969443321228,-0.7937092301435769,0.003625063100093912,275.85726713945854
296,nyskapende,0.0027781566604971886,0.7636869605630636,-0.7609088039025664,0.0036378212591830347,274.8898114429557
437,ubetrådt,0.0029997967649251223,0.820300281047821,-0.8173004842828959,0.003656949575944669,273.4519520252555
431,tålmodig,0.002733172383159399,0.7435075640678406,-0.7407743916846812,0.0036760518860168767,272.0309807932371
305,oppofrende,0.003037102520465851,0.8258969187736511,-0.8228598162531853,0.003677338480661183,271.93580500106714
450,umoden,0.0028885044157505035,0.7829878989141434,-0.7800993944983929,0.003689079256213684,271.07034860139004
144,fremragende,0.002743066055700183,0.7424023896455765,-0.7396593235898763,0.0036948507897579977,270.64692375994355
106,entusiastisk,0.002956702373921871,0.7995926020666957,-0.7966358996927738,0.0036977610426606306,270.4339162166291
